quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
3,KO,2011-04-01,61.30,47.48,65.43,67.62,37235935,4.90536,41.56291065,49853434,27.25,64.23,2.0745826,53,0.649137
4,KO,2011-04-08,27.32,57.42,56.96,47.37,62044467,5.0723826,-28.44615328,32265955,87.25,48.01,3.13041,56,0.658677
3,KO,2011-04-15,67.25,68.47,66.41,68.01,40595470,1.13011,26.76392085,32024467,67.57,67.88,0.458783,59,0.691075
2,KO,2011-04-21,67.57,68.05,66.64,67.88,19831270,0.458783,-51.14905678,40595470,67.95,67.46,-0.721118,53,0.692398
1,KO,2011-04-29,67.95,67.98,65.81,67.46,44603365,-0.721118,124.9143146,19831270,67.76,66.90,-1.26919,45,0.696709
1,KO,2011-05-06,67.76,67.93,66.40,66.90,33947562,-1.26919,-23.8901325,44603365,66.86,68.18,1.97427,38,0.702541
1,KO,2011-05-13,66.86,68.77,66.83,68.18,32166394,1.97427,-5.246821554,33947562,68.10,68.30,0.293686,31,0.689352
1,KO,2011-05-20,68.10,68.70,67.50,68.30,32520067,0.293686,1.099510875,32166394,67.59,66.51,-1.59787,24,0.688141
1,KO,2011-05-27,67.59,67.90,66.30,66.51,26066805,-1.59787,-19.84393821,32520067,66.94,65.53,-2.10636,17,0.706661
1,KO,2011-06-03,66.94,67.24,65.21,65.53,31192400,-2.10636,19.66330358,26066805,65.51,65.39,-0.183178,10,0.717229
