quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
2,VZ,06/10/2011,35.57,36.14,35.16,35.19,72100710,-1.06832,43.70072643,50174214,35.23,35.51,0.794777,26,1.39244
2,VZ,06/17/2011,35.23,35.92,34.94,35.51,69585912,0.794777,-3.487896305,72100710,35.35,36.00,1.83876,19,1.37989
2,VZ,06/24/2011,35.35,36.17,35.20,36.00,82375230,1.83876,18.3791771,69585912,36.00,37.80,5,12,1.36111
2,WMT,04/01/2011,52.31,52.74,51.89,52.13,44519431,-0.344102,-16.60713204,53385178,52.31,52.54,0.439686,40,0.709764
2,WMT,04/08/2011,52.31,53.24,52.06,52.54,48382262,0.439686,8.676730392,44519431,52.54,53.55,1.92234,33,0.704225
2,WMT,04/15/2011,52.54,53.96,52.40,53.55,45662991,1.92234,-5.620388315,48382262,53.08,53.58,0.941974,26,0.690943
2,WMT,04/21/2011,53.08,53.95,52.91,53.58,23073491,0.941974,-49.47004019,45662991,53.60,54.98,2.57463,20,0.690556
2,WMT,04/29/2011,53.60,55.16,53.23,54.98,47159044,2.57463,104.3862543,23073491,55.08,55.02,-0.108932,12,0.672972
2,WMT,05/06/2011,55.08,55.79,53.20,55.02,46668727,-0.108932,-1.039709372,47159044,54.97,55.72,1.36438,5,0.672483
2,WMT,05/13/2011,54.97,56.03,54.70,55.72,42649301,1.36438,-8.612675465,46668727,55.61,55.29,-0.575436,89,0.664034
2,WMT,05/20/2011,55.61,56.47,54.95,55.29,56695842,-0.575436,32.93498527,42649301,54.90,54.70,-0.364299,82,0.669199
2,WMT,05/27/2011,54.90,55.50,54.10,54.70,35560853,-0.364299,-37.27784658,56695842,54.88,53.66,-2.22303,75,0.676417
2,WMT,06/03/2011,54.88,55.22,53.04,53.66,48156051,-2.22303,35.41871732,35560853,53.86,52.72,-2.1166,68,0.689527
2,WMT,06/10/2011,53.86,54.30,52.69,52.72,58746396,-2.1166,21.99172229,48156051,52.91,52.82,-0.1701,61,0.701821
2,WMT,06/17/2011,52.91,53.29,51.79,52.82,68996550,-0.1701,17.44814099,58746396,52.70,52.41,-0.550285,54,0.700492
2,WMT,06/24/2011,52.70,53.70,52.35,52.41,75602550,-0.550285,9.574391763,68996550,52.32,53.51,2.27446,47,0.705972
2,XOM,04/01/2011,83.86,84.94,82.61,84.68,77569311,0.97782,-6.95164475,83364516,84.26,85.95,2.0057,40,0.555031
2,XOM,04/08/2011,84.26,86.22,84.07,85.95,75566590,2.0057,-2.581847092,77569311,85.95,84.29,-1.93136,33,0.54683
2,XOM,04/15/2011,85.95,86.15,82.38,84.29,81056144,-1.93136,7.264525235,75566590,83.11,86.36,3.91048,26,0.557599
2,XOM,04/21/2011,83.11,86.36,82.44,86.36,43378708,3.91048,-46.48313396,81056144,86.29,87.98,1.95851,20,0.544233
2,XOM,04/29/2011,86.29,88.00,85.89,87.98,81596868,1.95851,88.10349999,43378708,88.10,82.69,-6.14075,12,0.534212
2,XOM,05/06/2011,88.10,88.13,81.78,84.56,45632312,0.21344,-45.1234565,64537252,85.20,84.56,4.874673,34,0.345267
