quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
2,VZ,2011-06-17,35.23,35.92,34.94,35.51,69585912,0.794777,-3.487896305,72100710,35.35,36.00,1.83876,19,1.37989
2,VZ,2011-06-24,35.35,36.17,35.20,36.00,82375230,1.83876,18.3791771,69585912,36.00,37.80,5.00000,12,1.36111
2,WMT,2011-04-01,52.31,52.74,51.89,52.13,44519431,-0.344102,-16.60713204,53385178,52.31,52.54,0.439686,40,0.709764
2,WMT,2011-04-08,52.31,53.24,52.06,52.54,48382262,0.439686,8.676730392,44519431,52.54,53.55,1.92234,33,0.704225
2,WMT,2011-04-15,52.54,53.96,52.40,53.55,45662991,1.92234,-5.620388315,48382262,53.08,53.58,0.941974,26,0.690943
2,WMT,2011-04-21,53.08,53.95,52.91,53.58,23073491,0.941974,-49.47004019,45662991,53.60,54.98,2.57463,20,0.690556
2,WMT,2011-04-29,53.60,55.16,53.23,54.98,47159044,2.57463,104.3862543,23073491,55.08,55.02,-0.108932,12,0.672972
2,WMT,2011-05-06,55.08,55.79,53.20,55.02,46668727,-0.108932,-1.039709372,47159044,54.97,55.72,1.36438,5,0.672483
2,WMT,2011-05-13,54.97,56.03,54.70,55.72,42649301,1.36438,-8.612675465,46668727,55.61,55.29,-0.575436,89,0.664034
2,WMT,2011-05-20,55.61,56.47,54.95,55.29,56695842,-0.575436,32.93498527,42649301,54.90,54.70,-0.364299,82,0.669199
2,WMT,2011-05-27,54.90,55.50,54.10,54.70,35560853,-0.364299,-37.27784658,56695842,54.88,53.66,-2.22303,75,0.676417
2,WMT,2011-06-03,54.88,55.22,53.04,53.66,48156051,-2.22303,35.41871732,35560853,53.86,52.72,-2.1166,68,0.689527
2,WMT,2011-06-10,53.86,54.30,52.69,52.72,58746396,-2.1166,21.99172229,48156051,52.91,52.82,-0.1701,61,0.701821
2,WMT,2011-06-17,52.91,53.29,51.79,52.82,68996550,-0.1701,17.44814099,58746396,52.70,52.41,-0.550285,54,0.700492
2,WMT,2011-06-24,52.70,53.70,52.35,52.41,75602550,-0.550285,9.574391763,68996550,52.32,53.51,2.27446,47,0.705972
2,XOM,2011-04-01,83.86,84.94,82.61,84.68,77569311,0.97782,-6.95164475,83364516,84.26,85.95,2.0057,40,0.555031
2,XOM,2011-04-08,84.26,86.22,84.07,85.95,75566590,2.0057,-2.581847092,77569311,85.95,84.29,-1.93136,33,0.54683
2,XOM,2011-04-15,85.95,86.15,82.38,84.29,81056144,-1.93136,7.264525235,75566590,83.11,86.36,3.91048,26,0.557599
2,XOM,2011-04-21,83.11,86.36,82.44,86.36,43378708,3.91048,-46.48313396,81056144,86.29,87.98,1.95851,20,0.544233
2,XOM,2011-04-29,86.29,88.00,85.89,87.98,81596868,1.95851,88.10349999,43378708,88.10,82.69,-6.14075,12,0.534212
2,XOM,2011-05-06,88.10,88.13,81.59,82.69,113805856,-6.14075,39.4733141,81596868,83.01,80.87,-2.578,5,0.568388
2,XOM,2011-05-13,83.01,83.76,79.42,80.87,99678100,-2.578,-12.41390953,113805856,80.22,81.57,1.68287,89,0.58118
2,XOM,2011-05-20,80.22,82.58,79.60,81.57,86758820,1.68287,-12.96100146,99678100,80.22,82.63,3.00424,82,0.576192
2,XOM,2011-05-27,80.22,82.63,80.07,82.63,68230855,3.00424,-21.35571346,86758820,83.28,81.18,-2.52161,75,0.568801
2,XOM,2011-06-03,83.28,83.75,80.18,81.18,78616295,-2.52161,15.2210316,68230855,80.93,79.78,-1.42098,68,0.57896
2,XOM,2011-06-10,80.93,81.87,79.72,79.78,92380844,-1.42098,17.50851907,78616295,80.00,79.02,-1.225,61,0.58912
